Date,ts_code,RSI,5upcross60,now_high_close,std_60,30_down,diff_MA60-MA90,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps,dv_ratio,total_mv,alpha001,alpha005,alpha020,alpha025,alpha033,alpha039,alpha088,pct_chg
2021-01-12,603888.SH,61.28970101991372,0.51,0.0,2.2299,0.19,-5.65,19.83,1.5313,1.64,35.7513,75.9543,3.6082,6.5561,0.9834,1029235.2209,0.8388989169675091,-0.1377000956632653,-0.0205736565699392,0.4940962761126249,0.0598214285714285,-0.9734439970993054,0.1017857142857142,3.34
2018-11-15,603889.SH,64.53977874672128,0.13,-0.1,4.1626,1.52,-3.97,9.29,0.5033,1.54,17.6292,17.0146,1.5924,1.5817,1.7783,365701.8422,0.8395234758234057,-0.2075872987296158,-0.1774305061177788,0.3377622377622377,0.0676328502415458,-0.6922977346278317,0.0703933747412008,2.99
2019-02-21,603890.SH,59.59641249562083,0.58,-1.72,4.5365,-2.26,-3.02,12.58,3.9086,1.11,15.0823,20.6418,1.7005,1.387,1.1356,241284.4,0.2436363636363636,-0.008535508497784,-0.089615317283116,0.3917775090689238,0.4609929078014184,-0.6136343217877229,0.4929078014184397,0.24
2019-12-13,603890.SH,64.91140313695144,0.4599999999999999,-0.5,2.7727,-1.25,-1.41,9.81,3.9633,1.05,24.7451,26.6178,1.8199,1.5146,1.0194,268779.285,0.8454545454545455,-0.0814324396827791,-0.186920378245752,0.3071342200725513,0.2990543735224586,-0.7953953318439635,0.4964539007092198,2.19
2020-11-06,603893.SH,58.99791128599056,0.59,-0.3899999999999999,5.4113,-2.22,-6.959999999999999,79.2,5.0625,0.92,159.5088,122.5465,15.5678,23.1953,0.0,3265257.6,0.8068535825545171,-0.5319952662721893,-0.0993592186150485,0.3986928104575163,0.3384615384615385,0.0,0.4923076923076923,1.28
2021-03-17,603895.SH,57.4219981389097,0.47,-0.13,5.5664,-3.46,-6.41,16.23,0.4863,0.86,0.0,0.0,2.8939,3.7327,0.0,175413.84,0.83270911360799,-0.0134803115715472,-0.1641386659225368,0.474342928660826,0.3899755501222494,-0.6241421231355332,0.6332518337408313,0.5
2019-02-13,603896.SH,65.01598230364183,0.18,-0.44,2.9888,-1.14,-2.95,29.25,3.1947,1.24,47.1708,39.0598,4.2589,11.3323,0.6838,419253.705,0.8463114754098361,-0.0655910608904831,-0.1711607867707611,0.4291581108829568,0.3877139979859013,-0.7230174049597593,0.1631419939577039,0.3399999999999999
2018-12-24,603897.SH,61.89684354705757,1.17,-0.66,3.9214,-0.66,-8.14,24.2,13.6588,0.0,24.3333,22.0622,2.6288,0.9418,0.0,431728.0,0.8351063829787234,-0.3103789394295532,-0.0844571383463012,0.128,0.1456436931079323,0.0,0.1001300390117035,1.64
2017-02-21,603898.SH,61.87444760252707,0.24,-1.73,3.494,0.12,-2.47,32.89,2.7229,2.56,60.7223,46.8022,9.338,9.1163,0.51,986371.1,0.8415566365531619,-0.6624199975848327,-0.0342470731576369,0.0967292971468336,0.1510989010989011,-1.537328546442051,0.2252747252747252,1.61
2017-12-29,603898.SH,62.96649862788334,0.5,-0.44,3.0787,1.23,-1.86,29.86,2.5621,1.61,37.6548,29.5148,4.9418,6.6286,0.53,949901.202,0.8415566365531619,-0.4584676141166525,-0.1357175577184331,0.1530967292971468,0.125,-1.14168843695878,0.4409340659340659,2.86
2017-03-03,603899.SH,56.34816589687836,0.0699999999999999,-0.11,2.2214,-1.08,-1.96,17.87,0.7567,1.12,38.8987,33.3762,7.0491,4.3851,1.4,1644040.0,0.2080339647289353,-0.0442322843846189,-0.1286263249768108,0.4748201438848921,0.3417312661498708,-0.5717891114764564,0.9089147286821704,1.02
2018-12-10,603899.SH,57.61089739138863,0.08,-0.73,4.7036,-2.77,-1.5,28.43,0.1406,0.75,41.2522,34.0542,8.101,4.1144,0.8794,2615560.0,0.8347485303723057,-0.2735650401618493,-0.0159624485100667,0.3309352517985611,0.1937984496124031,-1.1268889012113843,0.6918604651162791,1.03
2017-08-29,603900.SH,66.55961451383222,0.88,-0.91,2.2437,-1.63,-1.36,32.35,4.878,1.58,35.5368,31.8382,3.7718,4.7654,0.0,786737.766,0.8528872593950504,-0.1081592360405027,-0.0409114489274001,0.1964944649446494,0.3408884859474161,0.0,0.1532184950135992,0.59
2017-03-01,603901.SH,57.2808333642674,0.18,-1.89,2.9889,-0.73,-3.56,14.5,2.7007,1.9,76.1132,65.8823,6.6317,6.4411,0.2241,580000.0,0.8483263598326359,-0.7029294549922164,-0.1415744672726503,0.1770468859342197,0.2921270718232044,-1.2487835398339695,0.7479281767955801,1.1900000000000002
